model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.955,0.007,0.694,0.659,0.804,0.789,0.766,0.0,10,4,,,,
mlp,random,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,7.778,0.022,0.652,0.612,0.768,0.744,0.759,4e-05,10,4,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.512,0.053,0.794,0.792,0.891,0.891,0.878,2e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0014483928680419922
rf,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,11.262,0.171,0.718,0.727,0.86,0.863,0.865,1.1e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0014483928680419922
svc,k-means,0.75,0.747,0.747,0.75,0.224,0.224,0.224,0.224,6.897,0.001,0.77,0.728,0.846,0.835,0.839,3e-06,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0014483928680419922
logreg,k-means,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.88,0.008,0.768,0.687,0.805,0.781,0.858,0.0,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0014483928680419922
mlp,k-means,0.5,0.48,0.48,0.5,0.274,0.293,0.293,0.274,5.412,0.05,0.744,0.689,0.816,0.798,0.829,0.000102,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0014483928680419922
xgb,ag,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.73,0.048,0.811,0.807,0.898,0.898,0.852,1.3e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.00146484375
rf,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,13.549,0.284,0.767,0.678,0.796,0.769,0.842,1.9e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.00146484375
svc,ag,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,6.945,0.002,0.715,0.562,0.668,0.616,0.5,4e-06,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.00146484375
logreg,ag,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,6.798,0.006,0.691,0.629,0.77,0.741,0.777,0.0,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.00146484375
mlp,ag,0.35,0.327,0.327,0.35,0.255,0.259,0.259,0.255,7.588,0.027,0.702,0.638,0.776,0.749,0.767,7e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.00146484375
xgb,k_center,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,4.922,0.044,0.487,0.166,0.101,0.177,0.601,1.7e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.001360177993774414
rf,k_center,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,13.637,0.206,0.49,0.153,0.077,0.167,0.565,1.6e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.001360177993774414
svc,k_center,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,5.199,0.002,0.5,0.135,0.043,0.156,0.639,3e-06,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.001360177993774414
logreg,k_center,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,6.866,0.006,0.478,0.136,0.053,0.153,0.369,0.0,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.001360177993774414
mlp,k_center,0.45,0.427,0.427,0.45,0.367,0.376,0.376,0.367,7.191,0.027,0.517,0.259,0.25,0.259,0.554,8.6e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.001360177993774414
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.081,0.091,0.5,0.458,0.774,0.845,0.5,1.7e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013637542724609375
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,14.009,0.448,0.5,0.458,0.774,0.845,0.5,2.4e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013637542724609375
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.207,0.001,0.5,0.458,0.774,0.845,0.389,1e-06,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013637542724609375
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.101,0.005,0.492,0.454,0.768,0.832,0.528,0.0,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013637542724609375
mlp,craig,0.7,0.6,0.667,0.7,0.245,0.327,0.298,0.245,6.946,0.025,0.516,0.508,0.778,0.818,0.642,3.9e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013637542724609375
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,13.81,0.16,0.321,0.332,0.502,0.423,0.229,2.3e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013799667358398438
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.584,0.423,0.262,0.265,0.394,0.312,0.173,2.1e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013799667358398438
svc,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.373,0.002,0.34,0.305,0.423,0.347,0.28,3e-06,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013799667358398438
logreg,lc,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,6.753,0.005,0.289,0.241,0.324,0.26,0.204,0.0,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013799667358398438
mlp,lc,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,7.002,0.026,0.337,0.329,0.479,0.399,0.316,8.5e-05,10,4,619.435201883316,737.6220080852509,5.801798062592227e-07,0.0013799667358398438
xgb,random,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,5.527,0.142,0.821,0.762,0.862,0.85,0.878,1.7e-05,20,0,,,,
rf,random,0.825,0.82,0.82,0.825,0.127,0.131,0.131,0.127,16.856,0.348,0.791,0.706,0.818,0.796,0.865,2.7e-05,20,0,,,,
svc,random,0.75,0.736,0.736,0.75,0.137,0.148,0.148,0.137,7.029,0.003,0.767,0.727,0.845,0.834,0.83,5e-06,20,0,,,,
logreg,random,0.825,0.817,0.817,0.825,0.17,0.182,0.182,0.17,6.31,0.007,0.751,0.696,0.821,0.804,0.826,1e-06,20,0,,,,
mlp,random,0.775,0.774,0.774,0.775,0.146,0.145,0.145,0.146,6.144,0.777,0.744,0.677,0.804,0.781,0.814,5.6e-05,20,0,,,,
xgb,k-means,0.875,0.874,0.874,0.875,0.079,0.079,0.079,0.079,7.61,0.019,0.832,0.805,0.893,0.889,0.884,1.7e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0013954639434814453
rf,k-means,0.825,0.821,0.821,0.825,0.1,0.102,0.102,0.1,16.476,0.366,0.763,0.723,0.843,0.831,0.853,3.1e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0013954639434814453
svc,k-means,0.775,0.762,0.762,0.775,0.094,0.113,0.113,0.094,6.777,0.003,0.711,0.612,0.739,0.699,0.784,4e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0013954639434814453
logreg,k-means,0.725,0.721,0.721,0.725,0.122,0.121,0.121,0.122,6.084,0.005,0.703,0.632,0.768,0.737,0.766,0.0,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0013954639434814453
mlp,k-means,0.675,0.657,0.657,0.675,0.061,0.072,0.072,0.061,7.148,0.032,0.719,0.624,0.751,0.714,0.783,4.7e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0013954639434814453
xgb,ag,0.875,0.873,0.873,0.875,0.137,0.139,0.139,0.137,4.144,0.01,0.829,0.81,0.897,0.895,0.884,1.7e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014491081237792969
rf,ag,0.825,0.822,0.822,0.825,0.1,0.102,0.102,0.1,16.758,0.374,0.761,0.728,0.848,0.839,0.847,2.5e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014491081237792969
svc,ag,0.725,0.72,0.72,0.725,0.146,0.145,0.145,0.146,6.854,0.002,0.698,0.548,0.655,0.601,0.795,2e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014491081237792969
logreg,ag,0.825,0.823,0.823,0.825,0.127,0.129,0.129,0.127,6.359,0.008,0.707,0.544,0.645,0.591,0.808,1e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014491081237792969
mlp,ag,0.7,0.688,0.688,0.7,0.127,0.137,0.137,0.127,8.288,0.057,0.704,0.585,0.706,0.659,0.776,7.5e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014491081237792969
xgb,k_center,0.675,0.664,0.664,0.675,0.1,0.11,0.11,0.1,7.338,0.05,0.66,0.539,0.657,0.603,0.733,8e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.001447916030883789
rf,k_center,0.575,0.554,0.554,0.575,0.17,0.172,0.172,0.17,14.747,0.219,0.786,0.777,0.882,0.88,0.787,2.1e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.001447916030883789
svc,k_center,0.625,0.563,0.563,0.625,0.079,0.13,0.13,0.079,5.622,0.003,0.543,0.546,0.771,0.78,0.564,7e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.001447916030883789
logreg,k_center,0.45,0.425,0.425,0.45,0.15,0.163,0.163,0.15,7.054,0.024,0.536,0.415,0.514,0.45,0.529,0.0,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.001447916030883789
mlp,k_center,0.325,0.302,0.302,0.325,0.127,0.128,0.128,0.127,5.091,2.011,0.552,0.408,0.495,0.435,0.578,4.4e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.001447916030883789
xgb,craig,0.783,0.74,0.74,0.75,0.113,0.158,0.158,0.158,4.123,0.03,0.602,0.405,0.466,0.418,0.762,1.6e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014715194702148438
rf,craig,0.517,0.5,0.533,0.55,0.207,0.213,0.197,0.187,17.025,0.365,0.529,0.279,0.281,0.279,0.701,3e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014715194702148438
svc,craig,0.517,0.467,0.5,0.55,0.207,0.223,0.213,0.187,7.311,0.002,0.692,0.576,0.697,0.649,0.744,3e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014715194702148438
logreg,craig,0.567,0.527,0.56,0.6,0.162,0.179,0.154,0.122,6.935,0.007,0.641,0.473,0.563,0.505,0.755,1e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014715194702148438
mlp,craig,0.467,0.46,0.493,0.5,0.282,0.275,0.268,0.274,7.607,0.021,0.669,0.549,0.668,0.615,0.737,4.3e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0014715194702148438
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.214,0.041,0.159,0.105,0.126,0.106,0.11,1.6e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0016024112701416016
rf,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,16.502,0.465,0.226,0.19,0.258,0.202,0.145,3.5e-05,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0016024112701416016
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.135,0.002,0.354,0.289,0.38,0.313,0.279,2e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0016024112701416016
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.683,0.007,0.313,0.27,0.368,0.298,0.292,0.0,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0016024112701416016
mlp,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,5.68,0.017,0.358,0.322,0.446,0.37,0.355,5e-06,20,0,549.6373167037964,766.7317442893982,5.542044920180954e-07,0.0016024112701416016
xgb,random,0.85,0.846,0.846,0.85,0.094,0.097,0.097,0.094,7.04,0.044,0.822,0.78,0.876,0.869,0.88,3e-06,20,1,,,,
rf,random,0.8,0.796,0.796,0.8,0.17,0.17,0.17,0.17,15.359,0.391,0.771,0.7,0.818,0.797,0.839,2.8e-05,20,1,,,,
svc,random,0.75,0.742,0.742,0.75,0.079,0.081,0.081,0.079,6.775,0.002,0.776,0.76,0.871,0.867,0.853,5e-06,20,1,,,,
logreg,random,0.8,0.79,0.79,0.8,0.1,0.105,0.105,0.1,6.947,0.006,0.81,0.725,0.832,0.812,0.866,0.0,20,1,,,,
mlp,random,0.725,0.704,0.704,0.725,0.094,0.107,0.107,0.094,6.504,0.033,0.776,0.676,0.791,0.762,0.843,7.4e-05,20,1,,,,
xgb,k-means,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,7.18,0.03,0.829,0.795,0.886,0.881,0.864,1.5e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0013709068298339844
rf,k-means,0.85,0.848,0.848,0.85,0.122,0.124,0.124,0.122,14.251,0.283,0.736,0.677,0.807,0.786,0.824,1.9e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0013709068298339844
svc,k-means,0.825,0.823,0.823,0.825,0.245,0.249,0.249,0.245,6.043,0.002,0.71,0.669,0.808,0.792,0.785,5e-06,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0013709068298339844
logreg,k-means,0.725,0.718,0.718,0.725,0.215,0.218,0.218,0.215,2.792,0.01,0.754,0.671,0.793,0.766,0.821,0.0,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0013709068298339844
mlp,k-means,0.675,0.665,0.665,0.675,0.269,0.273,0.273,0.269,3.933,0.056,0.709,0.635,0.769,0.739,0.771,8.2e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0013709068298339844
xgb,ag,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.429,0.027,0.829,0.792,0.884,0.878,0.836,1.7e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014469623565673828
rf,ag,0.925,0.921,0.921,0.925,0.1,0.106,0.106,0.1,15.514,0.247,0.766,0.724,0.843,0.831,0.854,2e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014469623565673828
svc,ag,0.8,0.789,0.789,0.8,0.061,0.068,0.068,0.061,3.763,0.003,0.7,0.522,0.614,0.559,0.804,4e-06,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014469623565673828
logreg,ag,0.825,0.821,0.821,0.825,0.1,0.102,0.102,0.1,7.302,0.006,0.769,0.627,0.735,0.693,0.869,0.0,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014469623565673828
mlp,ag,0.725,0.719,0.719,0.725,0.094,0.095,0.095,0.094,3.918,0.056,0.727,0.614,0.735,0.693,0.82,5.7e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014469623565673828
xgb,k_center,0.475,0.45,0.45,0.475,0.166,0.179,0.179,0.166,6.71,0.03,0.666,0.587,0.726,0.685,0.739,1.9e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.001260519027709961
rf,k_center,0.375,0.362,0.362,0.375,0.079,0.069,0.069,0.079,16.597,0.429,0.794,0.701,0.813,0.788,0.85,3.5e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.001260519027709961
svc,k_center,0.45,0.341,0.341,0.45,0.127,0.122,0.122,0.127,7.153,0.002,0.503,0.145,0.059,0.163,0.5,7e-06,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.001260519027709961
logreg,k_center,0.5,0.491,0.491,0.5,0.137,0.135,0.135,0.137,6.858,0.007,0.505,0.222,0.191,0.225,0.498,0.0,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.001260519027709961
mlp,k_center,0.425,0.416,0.416,0.425,0.1,0.097,0.097,0.1,7.256,0.021,0.529,0.404,0.499,0.436,0.55,2.4e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.001260519027709961
xgb,craig,0.55,0.473,0.453,0.5,0.187,0.239,0.264,0.224,4.059,0.022,0.466,0.41,0.548,0.478,0.402,1.4e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014426708221435547
rf,craig,0.5,0.352,0.395,0.55,0.0,0.038,0.124,0.1,15.856,0.166,0.569,0.412,0.492,0.435,0.616,1.3e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014426708221435547
svc,craig,0.533,0.367,0.367,0.5,0.067,0.067,0.067,0.0,6.778,0.001,0.5,0.134,0.042,0.155,0.455,4e-06,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014426708221435547
logreg,craig,0.467,0.333,0.367,0.5,0.067,0.0,0.067,0.0,6.752,0.005,0.5,0.134,0.042,0.155,0.553,0.0,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014426708221435547
mlp,craig,0.217,0.187,0.22,0.25,0.113,0.107,0.16,0.158,7.145,0.02,0.443,0.341,0.429,0.366,0.377,4e-06,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0014426708221435547
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.021,0.04,0.158,0.113,0.142,0.115,0.113,1.3e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0017347335815429688
rf,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,14.899,0.249,0.238,0.206,0.284,0.222,0.16,1.8e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0017347335815429688
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.245,0.002,0.38,0.291,0.369,0.309,0.272,5e-06,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0017347335815429688
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.18,0.005,0.305,0.222,0.277,0.23,0.211,0.0,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0017347335815429688
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.067,0.049,0.318,0.25,0.325,0.266,0.229,3.4e-05,20,1,726.2498707771301,679.6395962238312,5.601128554724461e-07,0.0017347335815429688
xgb,random,0.875,0.87,0.87,0.875,0.079,0.084,0.084,0.079,6.935,0.029,0.816,0.728,0.833,0.813,0.876,2.1e-05,20,2,,,,
rf,random,0.85,0.848,0.848,0.85,0.122,0.124,0.124,0.122,14.833,0.208,0.762,0.66,0.777,0.745,0.847,1.5e-05,20,2,,,,
svc,random,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,5.967,0.002,0.72,0.605,0.725,0.682,0.814,5e-06,20,2,,,,
logreg,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.066,0.006,0.782,0.686,0.8,0.773,0.848,0.0,20,2,,,,
mlp,random,0.85,0.834,0.834,0.85,0.146,0.167,0.167,0.146,5.217,0.03,0.749,0.661,0.783,0.753,0.841,9.9e-05,20,2,,,,
xgb,k-means,0.925,0.924,0.924,0.925,0.061,0.062,0.062,0.061,7.076,0.025,0.817,0.797,0.89,0.886,0.871,2e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013384819030761719
rf,k-means,0.875,0.871,0.871,0.875,0.112,0.116,0.116,0.112,14.369,0.259,0.735,0.67,0.799,0.776,0.835,1.5e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013384819030761719
svc,k-means,0.725,0.72,0.72,0.725,0.146,0.145,0.145,0.146,6.844,0.002,0.742,0.648,0.771,0.738,0.819,4e-06,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013384819030761719
logreg,k-means,0.775,0.766,0.766,0.775,0.094,0.097,0.097,0.094,7.235,0.006,0.749,0.657,0.779,0.749,0.823,0.0,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013384819030761719
mlp,k-means,0.675,0.671,0.671,0.675,0.15,0.148,0.148,0.15,7.673,0.022,0.723,0.614,0.736,0.695,0.79,4.1e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013384819030761719
xgb,ag,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,4.271,0.248,0.813,0.8,0.893,0.891,0.883,1.7e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014371871948242188
rf,ag,0.925,0.921,0.921,0.925,0.1,0.106,0.106,0.1,14.656,0.175,0.761,0.727,0.847,0.838,0.859,1.4e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014371871948242188
svc,ag,0.8,0.793,0.793,0.8,0.1,0.104,0.104,0.1,6.966,0.001,0.761,0.702,0.823,0.805,0.85,3e-06,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014371871948242188
logreg,ag,0.825,0.825,0.825,0.825,0.1,0.1,0.1,0.1,5.501,0.009,0.784,0.743,0.855,0.845,0.862,0.0,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014371871948242188
mlp,ag,0.75,0.745,0.745,0.75,0.079,0.081,0.081,0.079,5.225,0.055,0.757,0.685,0.808,0.785,0.839,5.6e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014371871948242188
xgb,k_center,0.75,0.745,0.745,0.75,0.079,0.081,0.081,0.079,3.061,0.012,0.508,0.19,0.135,0.198,0.727,1.4e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014853477478027344
rf,k_center,0.575,0.574,0.574,0.575,0.1,0.099,0.099,0.1,12.973,0.121,0.664,0.52,0.626,0.569,0.78,9e-06,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014853477478027344
svc,k_center,0.475,0.382,0.382,0.475,0.094,0.115,0.115,0.094,6.231,0.001,0.538,0.483,0.637,0.58,0.486,7e-06,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014853477478027344
logreg,k_center,0.525,0.521,0.521,0.525,0.094,0.094,0.094,0.094,7.011,0.006,0.488,0.148,0.069,0.163,0.487,0.0,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014853477478027344
mlp,k_center,0.35,0.335,0.335,0.35,0.146,0.157,0.157,0.146,7.293,0.06,0.547,0.394,0.472,0.415,0.582,7.9e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0014853477478027344
xgb,craig,0.633,0.531,0.63,0.7,0.163,0.168,0.159,0.1,4.715,0.034,0.51,0.479,0.782,0.848,0.631,1.9e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013861656188964844
rf,craig,0.7,0.638,0.724,0.8,0.245,0.298,0.252,0.187,17.854,0.381,0.533,0.525,0.797,0.851,0.602,2e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013861656188964844
svc,craig,0.733,0.646,0.702,0.75,0.2,0.239,0.218,0.158,2.425,0.002,0.517,0.505,0.782,0.83,0.525,3e-06,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013861656188964844
logreg,craig,0.8,0.713,0.72,0.75,0.194,0.266,0.267,0.224,6.887,0.009,0.532,0.521,0.723,0.7,0.565,0.0,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013861656188964844
mlp,craig,0.633,0.566,0.649,0.7,0.245,0.262,0.228,0.187,6.304,0.031,0.502,0.493,0.766,0.802,0.535,4e-06,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0013861656188964844
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.531,0.045,0.158,0.11,0.136,0.112,0.105,1.4e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0016667842864990234
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.292,0.257,0.242,0.176,0.222,0.182,0.158,2.8e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0016667842864990234
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.523,0.003,0.342,0.324,0.462,0.384,0.253,4e-06,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0016667842864990234
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.918,0.005,0.287,0.234,0.31,0.25,0.205,0.0,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0016667842864990234
mlp,lc,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,8.219,0.054,0.305,0.281,0.397,0.32,0.234,7.5e-05,20,2,1690.7390236854553,772.3869142532349,5.479308842774758e-07,0.0016667842864990234
xgb,random,0.8,0.793,0.793,0.8,0.061,0.066,0.066,0.061,6.916,0.02,0.756,0.669,0.79,0.762,0.827,1.9e-05,20,3,,,,
rf,random,0.775,0.77,0.77,0.775,0.094,0.096,0.096,0.094,16.236,0.332,0.752,0.665,0.787,0.758,0.824,2.4e-05,20,3,,,,
svc,random,0.85,0.846,0.846,0.85,0.094,0.097,0.097,0.094,6.955,0.002,0.739,0.652,0.778,0.747,0.808,7e-06,20,3,,,,
logreg,random,0.825,0.818,0.818,0.825,0.1,0.105,0.105,0.1,6.871,0.008,0.743,0.646,0.768,0.735,0.815,1e-06,20,3,,,,
mlp,random,0.725,0.716,0.716,0.725,0.094,0.094,0.094,0.094,6.993,0.06,0.743,0.649,0.772,0.739,0.803,0.000103,20,3,,,,
xgb,k-means,0.875,0.862,0.862,0.875,0.137,0.16,0.16,0.137,5.316,0.029,0.828,0.8,0.89,0.886,0.854,1.7e-05,20,3,569.4864971637726,615.460292339325,5.511536279798488e-07,0.0013964176177978516
rf,k-means,0.825,0.809,0.809,0.825,0.127,0.149,0.149,0.127,14.362,0.338,0.741,0.684,0.812,0.793,0.828,2.2e-05,20,3,569.4864971637726,615.460292339325,5.511536279798488e-07,0.0013964176177978516
svc,k-means,0.75,0.737,0.737,0.75,0.285,0.291,0.291,0.285,6.763,0.002,0.701,0.575,0.692,0.643,0.24,6e-06,20,3,569.4864971637726,615.460292339325,5.511536279798488e-07,0.0013964176177978516
logreg,k-means,0.775,0.771,0.771,0.775,0.242,0.246,0.246,0.242,6.951,0.011,0.75,0.647,0.767,0.733,0.827,0.0,20,3,569.4864971637726,615.460292339325,5.511536279798488e-07,0.0013964176177978516
mlp,k-means,0.625,0.614,0.614,0.625,0.209,0.21,0.21,0.209,6.319,0.055,0.747,0.636,0.754,0.717,0.798,0.000105,20,3,569.4864971637726,615.460292339325,5.511536279798488e-07,0.0013964176177978516
xgb,ag,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,4.929,0.025,0.831,0.802,0.892,0.887,0.882,1.9e-05,20,3,569.4864971637726,615.460292339325,5.511536279798488e-07,0.0013432502746582031
